,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Chris Jacke 20 yard field goal,0,3
1,2.0,Vikings,Qadry Ismail 6 yard pass from Jim McMahon (Fuad Reveiz kick),7,3
2,2.0,Packers,Sterling Sharpe 37 yard pass from Brett Favre (Chris Jacke kick),7,10
3,3.0,Vikings,Cris Carter 6 yard pass from Jim McMahon (Fuad Reveiz kick),14,10
4,4.0,Vikings,Cris Carter 25 yard pass from Jim McMahon (Fuad Reveiz kick),21,10
5,4.0,Packers,Mark Clayton 11 yard pass from Brett Favre (Chris Jacke kick),21,17
