,Quarter,Tm,Detail,SDG,MIN
0,1.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,7
1,2.0,Chargers,Gary Garrison 32 yard pass from Jesse Freitas (Pat Curran pass from Mike Fuller),7,7
2,2.0,Vikings,Ed Marinaro 16 yard pass from Fran Tarkenton (Fred Cox kick),7,14
3,4.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),7,21
4,4.0,Chargers,Dwight McDonald 16 yard pass from Jesse Freitas,13,21
5,4.0,Vikings,Chuck Foreman 9 yard rush (Fred Cox kick),13,28
