,Quarter,Time,Tm,Detail,NWE,SEA
0,1.0,13:48,Patriots,Devin McCourty 43 yard interception return (Nick Folk kick),7,0
1,1.0,5:33,Seahawks,Tyler Lockett 4 yard pass from Russell Wilson (Jason Myers kick),7,7
2,2.0,14:02,Patriots,Cam Newton 1 yard rush (Nick Folk kick),14,7
3,2.0,7:06,Seahawks,D.K. Metcalf 54 yard pass from Russell Wilson (Jason Myers kick),14,14
4,3.0,10:16,Patriots,Nick Folk 25 yard field goal,17,14
5,3.0,7:12,Seahawks,David Moore 38 yard pass from Russell Wilson (Jason Myers kick),17,21
6,3.0,2:07,Seahawks,Freddie Swain 21 yard pass from Russell Wilson (Jason Myers kick),17,28
7,4.0,14:18,Patriots,Jakob Johnson 1 yard pass from Cam Newton (run failed),23,28
8,4.0,4:38,Seahawks,Chris Carson 18 yard pass from Russell Wilson (Jason Myers kick),23,35
9,4.0,2:19,Patriots,Cam Newton 1 yard rush (Nick Folk kick),30,35
