,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Jack Manders 34 yard field goal,0,3
1,2.0,Lions,Dutch Clark 27 yard field goal,3,3
2,2.0,Bears,Luke Johnsos 14 yard pass from Carl Brumbaugh,3,9
3,2.0,Lions,Ike Peterson 5 yard rush (Dutch Clark kick),10,9
4,2.0,Bears,Jack Manders 29 yard field goal,10,12
