,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,John Fuqua 72 yard rush (Allan Watson kick),7,0
1,1.0,Eagles,Ben Hawkins 21 yard pass from Norm Snead,7,6
2,2.0,Eagles,Mike Dirks special teams fumble recovery in end zone (Mark Moseley kick),7,13
3,2.0,Steelers,John Fuqua 85 yard rush (Allan Watson kick),14,13
4,2.0,Eagles,Gary Ballman 19 yard pass from Norm Snead (Mark Moseley kick),14,20
5,3.0,Steelers,Allan Watson 21 yard field goal,17,20
6,4.0,Steelers,Allan Watson 17 yard field goal,20,20
7,4.0,Eagles,Mark Moseley 18 yard field goal,20,23
8,4.0,Eagles,Larry Watkins 1 yard rush (Mark Moseley kick),20,30
