,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Woodley Lewis 88 yard kickoff return (Les Richter kick),0,7
1,1.0,Rams,Jack Dwyer 76 yard interception return (Les Richter kick),0,14
2,1.0,Cardinals,Pat Summerall 28 yard field goal,3,14
3,1.0,Cardinals,Charley Trippi 57 yard rush (Pat Summerall kick),10,14
4,2.0,Rams,Tank Younger 75 yard rush (Les Richter kick),10,21
5,4.0,Rams,Bob Boyd 43 yard pass from Billy Wade (Les Richter kick),10,28
6,4.0,Cardinals,Don Stonesifer 13 yard pass from Steve Romanik (Pat Summerall kick),17,28
