,Quarter,Tm,Detail,BUF,FRN
0,1.0,Bisons,Floyd Christman unknown yard pass from Wally Foster (Wally Foster kick),7,0
1,2.0,Yellow Jackets,Tex Hamer 2 yard rush (Bull Behman kick),7,7
2,2.0,Yellow Jackets,Tex Hamer 1 yard rush,7,13
3,3.0,Yellow Jackets,Tex Hamer 4 yard rush (Bull Behman kick),7,20
4,4.0,Yellow Jackets,Tex Hamer 75 yard interception return (Bull Behman kick),7,27
