,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Jim Benton 4 yard pass from Sid Luckman (Bob Snyder kick),7,0
1,1.0,Bears,Connie Mack Berry 31 yard pass from Sid Luckman (Bob Snyder kick),14,0
2,2.0,Giants,Carl Kinscherf 1 yard rush (Ward Cuff kick),14,7
3,2.0,Bears,Hampton Pool 27 yard pass from Sid Luckman (Bob Snyder kick),21,7
4,2.0,Bears,Harry Clarke 4 yard rush (Bob Snyder kick),28,7
5,3.0,Bears,Harry Clarke 62 yard pass from Sid Luckman (Bob Snyder kick),35,7
6,3.0,Bears,Jim Benton 15 yard pass from Sid Luckman (Bob Snyder kick),42,7
7,4.0,Bears,George Wilson 3 yard pass from Sid Luckman (Bob Snyder kick),49,7
8,4.0,Bears,Hampton Pool 40 yard pass from Sid Luckman (Bob Snyder kick),56,7
