,Quarter,Time,Tm,Detail,STL,DEN
0,1.0,3:51,Broncos,Rod Smith 7 yard pass from Brian Griese (Jason Elam kick),0,7
1,2.0,13:05,Broncos,Jason Elam 41 yard field goal,0,10
2,2.0,6:43,Rams,Jeff Wilkins 41 yard field goal,3,10
3,2.0,1:16,Broncos,Jason Elam 34 yard field goal,3,13
4,2.0,0:32,Broncos,Jason Elam 32 yard field goal,3,16
5,2.0,0:00,Rams,Jeff Wilkins 43 yard field goal,6,16
6,3.0,14:04,Rams,Marshall Faulk 3 yard rush (Jeff Wilkins kick),13,16
7,4.0,5:55,Broncos,Ed McCaffrey 23 yard pass from Brian Griese (Jason Elam kick),13,23
8,4.0,2:12,Rams,Jeff Wilkins 39 yard field goal,16,23
