,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),7,0
1,2.0,,Packers,Robert Brooks 26 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,,Packers,Darren Sharper 50 yard interception return (Ryan Longwell kick),7,14
3,2.0,,Lions,Jason Hanson 34 yard field goal,10,14
4,3.0,,Packers,Ryan Longwell 23 yard field goal,10,17
5,4.0,,Packers,Ryan Longwell 44 yard field goal,10,20
