,Quarter,Tm,Detail,STL,ATL
0,1.0,Falcons,Mick Luckhurst 28 yard field goal,0,3
1,1.0,Cardinals,Wayne Morris 2 yard rush (Neil O'Donoghue kick),7,3
2,2.0,Cardinals,Ottis Anderson 20 yard rush (Neil O'Donoghue kick),14,3
3,2.0,Falcons,Mick Luckhurst 27 yard field goal,14,6
4,3.0,Falcons,Bo Robinson 2 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,13
5,3.0,Cardinals,Neil O'Donoghue 43 yard field goal,17,13
6,4.0,Cardinals,Neil Lomax 1 yard rush,23,13
7,4.0,Falcons,Alfred Jackson 15 yard pass from Steve Bartkowski (Mick Luckhurst kick),23,20
