,Quarter,Time,Tm,Detail,BUF,TEN
0,1.0,,Oilers,Marcus Robertson 27 yard defensive fumble return (Al Del Greco kick),0,7
1,1.0,,Oilers,Steve McNair 1 yard rush (Al Del Greco kick),0,14
2,2.0,,Oilers,Steve McNair 3 yard rush (Al Del Greco kick),0,21
3,2.0,,Bills,Quinn Early 9 yard pass from Todd Collins (Steve Christie kick),7,21
4,3.0,,Oilers,Al Del Greco 51 yard field goal,7,24
5,4.0,,Bills,Quinn Early 6 yard pass from Todd Collins (Steve Christie kick),14,24
6,4.0,,Oilers,Derek Russell 2 yard pass from Steve McNair (Al Del Greco kick),14,31
