,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),0,7
1,2.0,Cowboys,Sam Baker 15 yard field goal,3,7
2,3.0,Browns,Lou Groza 35 yard field goal,3,10
3,3.0,Cowboys,Frank Clarke 36 yard pass from Don Meredith (Sam Baker kick),10,10
4,3.0,Browns,Jim Brown 50 yard pass from Jim Ninowski,10,16
5,4.0,Browns,Lou Groza 42 yard field goal,10,19
