,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Bob Waterfield 2 yard rush (Bob Waterfield kick),7,0
1,1.0,Giants,Bill Paschal 77 yard rush (Ken Strong kick),7,7
2,1.0,Giants,Ken Strong 45 yard field goal,7,10
3,2.0,Giants,Frank Liebel 15 yard pass from Marion Pugh (Ken Strong kick),7,17
4,3.0,Rams,Fred Gehrke 10 yard rush (Bob Waterfield kick),14,17
5,4.0,Rams,Fred Gehrke 35 yard rush (Bob Waterfield kick),21,17
