,Quarter,Tm,Detail,BKN,WAS
0,1.0,Dodgers,Ralph Kercheval 19 yard field goal,3,0
1,1.0,Dodgers,Ace Parker 19 yard pass from Joe Maniaci (Ralph Kercheval kick),10,0
2,2.0,Redskins,Charley Malone 22 yard pass from Bill Hartman (Bob Masterson kick),10,7
3,2.0,Redskins,Ed Justice 15 yard pass from Bill Hartman,10,13
4,4.0,Dodgers,Bill Reissig 38 yard field goal,13,13
5,4.0,Dodgers,Ralph Kercheval 38 yard field goal,16,13
6,4.0,Redskins,Bob Masterson 15 yard field goal,16,16
