,Quarter,Tm,Detail,DET,BCL
0,2.0,Lions,Cloyce Box 82 yard pass from Bobby Layne (Doak Walker kick),7,0
1,2.0,Lions,Doak Walker 9 yard rush (Doak Walker kick),14,0
2,2.0,Colts,Hal Crisler 9 yard pass from Y.A. Tittle (Veto Kissell kick),14,7
3,3.0,Colts,Hal Crisler 15 yard pass from Y.A. Tittle (Veto Kissell kick),14,14
4,3.0,Lions,Cloyce Box 67 yard pass from Bobby Layne (Doak Walker kick),21,14
5,3.0,Lions,Doak Walker 42 yard field goal,24,14
6,3.0,Lions,Doak Walker 3 yard rush (Doak Walker kick),31,14
7,4.0,Colts,Paul Salata 1 yard pass from Adrian Burk (Veto Kissell kick),31,21
8,4.0,Lions,Cloyce Box 32 yard pass from Bobby Layne (Doak Walker kick),38,21
9,4.0,Lions,Cloyce Box 22 yard pass from Fred Enke (Doak Walker kick),45,21
