,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Steve Odom 95 yard pass from Lynn Dickey (Chester Marcol kick),7,0
1,1.0,Vikings,Sammy White 16 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,2.0,Vikings,Chuck Foreman 3 yard rush,7,13
3,4.0,Vikings,Sammy Johnson 2 yard rush,7,19
