,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,11:47,Chargers,Nate Kaeding 20 yard field goal,0,3
1,1.0,8:43,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),0,10
2,2.0,12:58,Chargers,Darren Sproles 8 yard pass from Philip Rivers (Nate Kaeding kick),0,17
3,2.0,9:02,Chargers,Vincent Jackson 59 yard pass from Philip Rivers (Nate Kaeding kick),0,24
4,2.0,0:23,Chargers,Nate Kaeding 39 yard field goal,0,27
5,2.0,0:10,Raiders,Justin Miller 92 yard kickoff return (Sebastian Janikowski kick),7,27
6,4.0,7:19,Chargers,Darren Sproles 18 yard pass from Philip Rivers (Nate Kaeding kick),7,34
