,Quarter,Tm,Detail,DEN,PIT
0,2.0,Broncos,Floyd Little 3 yard rush (Jim Turner kick),7,0
1,2.0,Broncos,Jim Turner 32 yard field goal,10,0
2,3.0,Steelers,Preston Pearson 8 yard pass from Terry Hanratty (Roy Gerela kick),10,7
3,3.0,Steelers,Roy Gerela 19 yard field goal,10,10
4,4.0,Broncos,Floyd Little 16 yard rush (Jim Turner kick),17,10
5,4.0,Broncos,"Safety, Lynch tackled Walden in end zone",19,10
6,4.0,Broncos,Jim Turner 12 yard field goal,22,10
