,Quarter,Tm,Detail,BUF,STL
0,1.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),0,7
1,1.0,Bills,Jim Braxton 1 yard rush,6,7
2,2.0,Bills,O.J. Simpson 3 yard rush (John Leypoldt kick),13,7
3,3.0,Bills,John Leypoldt 30 yard field goal,16,7
4,3.0,Bills,John Leypoldt 33 yard field goal,19,7
5,4.0,Bills,Jim Braxton 5 yard rush (John Leypoldt kick),26,7
6,4.0,Bills,Jim Braxton 1 yard rush,32,7
7,4.0,Cardinals,Terry Metcalf 4 yard pass from Jim Hart (Jim Bakken kick),32,14
