,Quarter,Time,Tm,Detail,PHI,CHI
0,1.0,,Bears,Keith Jennings 13 yard pass from Erik Kramer (Kevin Butler kick),0,7
1,2.0,3:40,Eagles,Charlie Garner 8 yard rush (Gary Anderson kick),7,7
2,2.0,3:40,Bears,Kevin Butler 27 yard field goal,7,10
3,2.0,3:40,Bears,Keith Jennings 1 yard pass from Erik Kramer (Kevin Butler kick),7,17
4,4.0,3:40,Eagles,Jerome Henderson fumble recovery in end zone (Gary Anderson kick),14,17
5,4.0,3:40,Bears,Kevin Butler 28 yard field goal,14,20
