,Quarter,Tm,Detail,HOU,MIN
0,2.0,Oilers,Al Del Greco 30 yard field goal,3,0
1,2.0,Vikings,Anthony Parker 58 yard defensive fumble return (Fuad Reveiz kick),3,7
2,2.0,Vikings,Fuad Reveiz 42 yard field goal,3,10
3,2.0,Oilers,Ernest Givins 5 yard pass from Warren Moon (Al Del Greco kick),10,10
4,4.0,Vikings,Fuad Reveiz 51 yard field goal,10,13
5,4.0,Oilers,Lorenzo White 1 yard rush (Al Del Greco kick),17,13
