,Quarter,Tm,Detail,KAN,NWE
0,1.0,Chiefs,MacArthur Lane 1 yard rush (Jan Stenerud kick),7,0
1,1.0,Chiefs,Tony Reed 10 yard rush (Jan Stenerud kick),14,0
2,1.0,Patriots,Darryl Stingley 34 yard rush (John Smith kick),14,7
3,2.0,Patriots,Darryl Stingley 21 yard pass from Steve Grogan (John Smith kick),14,14
4,3.0,Patriots,Jess Phillips 11 yard rush (John Smith kick),14,21
5,4.0,Chiefs,Jan Stenerud 22 yard field goal,17,21
