,Quarter,Tm,Detail,WAS,PHI
0,1.0,Redskins,Charlie Brown 12 yard pass from Joe Theismann (Mark Moseley kick),7,0
1,2.0,Eagles,Tony Franklin 27 yard field goal,7,3
2,3.0,Eagles,Mike Quick 27 yard pass from Ron Jaworski (Tony Franklin kick),7,10
3,3.0,Redskins,Mark Moseley 36 yard field goal,10,10
4,4.0,Redskins,John Riggins 14 yard rush (Mark Moseley kick),17,10
5,4.0,Redskins,Mark Moseley 24 yard field goal,20,10
6,4.0,Eagles,Tony Franklin 33 yard field goal,20,13
7,4.0,Redskins,Mark Moseley 23 yard field goal,23,13
