,Quarter,Tm,Detail,HOU,SDG
0,1.0,Chargers,John Carney 34 yard field goal,0,3
1,2.0,Chargers,John Carney 34 yard field goal,0,6
2,2.0,Chargers,John Carney 27 yard field goal,0,9
3,2.0,Oilers,Webster Slaughter 2 yard pass from Warren Moon (Al Del Greco kick),7,9
4,2.0,Oilers,Darryll Lewis 47 yard interception return (Al Del Greco kick),14,9
5,3.0,Chargers,John Carney 27 yard field goal,14,12
6,4.0,Chargers,John Carney 36 yard field goal,14,15
7,4.0,Oilers,Al Del Greco 27 yard field goal,17,15
8,4.0,Chargers,John Carney 27 yard field goal,17,18
