,Quarter,Tm,Detail,RAI,BUF
0,2.0,Raiders,Jeff Jaeger 30 yard field goal,3,0
1,2.0,Bills,Kenneth Davis 1 yard rush,3,6
2,2.0,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),10,6
3,2.0,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),17,6
4,2.0,Bills,Thurman Thomas 8 yard rush (Steve Christie kick),17,13
5,3.0,Bills,Bill Brooks 25 yard pass from Jim Kelly,17,19
6,3.0,Bills,Steve Christie 29 yard field goal,17,22
7,3.0,Raiders,Tim Brown 86 yard pass from Jeff Hostetler,23,22
8,4.0,Bills,Bill Brooks 22 yard pass from Jim Kelly (Steve Christie kick),23,29
