,Quarter,Time,Tm,Detail,PIT,SFO
0,1.0,11:52,Steelers,Chris Boswell 46 yard field goal,3,0
1,1.0,2:07,Steelers,Chris Boswell 26 yard field goal,6,0
2,2.0,6:48,49ers,Robbie Gould 24 yard field goal,6,3
3,3.0,9:21,49ers,Jeff Wilson 1 yard rush (Robbie Gould kick),6,10
4,3.0,5:54,Steelers,JuJu Smith-Schuster 76 yard pass from Mason Rudolph (Chris Boswell kick),13,10
5,3.0,1:02,49ers,Jeff Wilson 4 yard rush (Robbie Gould kick),13,17
6,4.0,10:28,Steelers,Diontae Johnson 39 yard pass from Mason Rudolph (Chris Boswell kick),20,17
7,4.0,1:20,49ers,Dante Pettis 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),20,24
