,Quarter,Tm,Detail,PHO,TAM
0,1.0,Cardinals,Al Del Greco 47 yard field goal,3,0
1,1.0,Cardinals,Stump Mitchell 6 yard rush (Al Del Greco kick),10,0
2,1.0,Cardinals,Al Del Greco 37 yard field goal,13,0
3,2.0,Buccaneers,Donald Igwebuike 34 yard field goal,13,3
4,2.0,Cardinals,Earl Ferrell 1 yard rush (Al Del Greco kick),20,3
5,3.0,Buccaneers,Bruce Hill 23 yard pass from Vinny Testaverde (Donald Igwebuike kick),20,10
6,3.0,Cardinals,Al Del Greco 23 yard field goal,23,10
7,4.0,Buccaneers,James Wilder 5 yard rush (Donald Igwebuike kick),23,17
8,4.0,Buccaneers,Lars Tate 47 yard rush (Donald Igwebuike kick),23,24
9,4.0,Cardinals,Jay Novacek 42 yard pass from Cliff Stoudt (Al Del Greco kick),30,24
