,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Paul Hornung 12 yard field goal,0,3
1,1.0,Packers,Paul Hornung 2 yard rush (Paul Hornung kick),0,10
2,1.0,Rams,Del Shofner 17 yard pass from Billy Wade (Danny Villanueva kick),7,10
3,2.0,Rams,Danny Villanueva 23 yard field goal,10,10
4,2.0,Rams,Danny Villanueva 17 yard field goal,13,10
5,2.0,Rams,Red Phillips 9 yard pass from Billy Wade (Danny Villanueva kick),20,10
6,3.0,Rams,Red Phillips 41 yard pass from Billy Wade (Danny Villanueva kick),27,10
7,3.0,Rams,Danny Villanueva 31 yard field goal,30,10
8,3.0,Packers,Tom Moore 59 yard rush (Paul Hornung kick),30,17
9,4.0,Packers,Boyd Dowler 18 yard pass from Paul Hornung (Paul Hornung kick),30,24
10,4.0,Packers,Paul Hornung 2 yard rush (Paul Hornung kick),30,31
11,4.0,Rams,Danny Villanueva 9 yard field goal,33,31
