,Quarter,Tm,Detail,WAS,BKN
0,1.0,Redskins,Joe Aguirre 44 yard pass from Sammy Baugh (Bob Masterson kick),7,0
1,1.0,Dodgers,Pug Manders 53 yard pass from Ken Heineman (Bruiser Kinard kick),7,7
2,1.0,Dodgers,Bruiser Kinard 22 yard field goal,7,10
3,2.0,Redskins,Wilbur Moore 53 yard pass from Sammy Baugh (Bob Masterson kick),14,10
4,2.0,Redskins,Bob Seymour 23 yard pass from Sammy Baugh (Bob Masterson kick),21,10
5,3.0,Redskins,Joe Aguirre 10 yard pass from Sammy Baugh (Bob Masterson kick),28,10
6,3.0,Redskins,Wilbur Moore 71 yard pass from Sammy Baugh,34,10
7,4.0,Redskins,Andy Farkas 23 yard pass from Sammy Baugh (Bob Masterson kick),41,10
8,4.0,Redskins,Andy Farkas 1 yard rush (Joe Pasqua kick),48,10
