,Quarter,Time,Tm,Detail,CAR,DEN
0,1.0,7:13,Panthers,Kelvin Benjamin 14 yard pass from Cam Newton (Graham Gano kick),7,0
1,2.0,12:16,Broncos,Andy Janovich 28 yard rush (Brandon McManus kick),7,7
2,2.0,3:01,Panthers,Cam Newton 2 yard rush (Graham Gano kick),14,7
3,2.0,0:03,Panthers,Graham Gano 44 yard field goal,17,7
4,4.0,14:50,Broncos,C.J. Anderson 25 yard pass from Trevor Siemian (Brandon McManus kick),17,14
5,4.0,9:26,Broncos,C.J. Anderson 1 yard rush (Brandon McManus kick),17,21
6,4.0,4:21,Panthers,Graham Gano 36 yard field goal,20,21
