,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Jimmy Orr 46 yard pass from Johnny Unitas (Lou Michaels kick),0,7
1,1.0,Rams,Ben Wilson 1 yard rush (Bruce Gossett kick),7,7
2,2.0,Rams,Bruce Gossett 35 yard field goal,10,7
3,2.0,Rams,Bruce Gossett 32 yard field goal,13,7
4,3.0,Colts,Jimmy Orr 43 yard pass from Johnny Unitas (Lou Michaels kick),13,14
5,3.0,Colts,Lenny Moore 12 yard rush (Lou Michaels kick),13,21
6,3.0,Colts,Jimmy Orr 35 yard pass from Johnny Unitas (Lou Michaels kick),13,28
7,4.0,Rams,Red Phillips 14 yard pass from Bill Munson (Bruce Gossett kick),20,28
8,4.0,Colts,Lenny Moore 32 yard rush (Lou Michaels kick),20,35
