,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,11:55,Falcons,Tevin Coleman 7 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,3:53,Saints,Wil Lutz 19 yard field goal,3,7
2,1.0,3:42,Falcons,Devonta Freeman 75 yard rush (Matt Bryant kick),3,14
3,1.0,0:52,Saints,Tim Hightower 2 yard rush (Wil Lutz kick),10,14
4,2.0,14:17,Falcons,Julio Jones 1 yard pass from Matt Ryan (Matt Bryant kick),10,21
5,2.0,6:51,Falcons,Mohamed Sanu 10 yard pass from Matt Ryan (Matt Bryant kick),10,28
6,2.0,3:40,Saints,Wil Lutz 40 yard field goal,13,28
7,2.0,0:32,Falcons,Justin Hardy 7 yard pass from Matt Ryan (Matt Bryant kick),13,35
8,3.0,5:17,Falcons,Matt Bryant 22 yard field goal,13,38
9,4.0,12:41,Saints,Michael Thomas 14 yard pass from Drew Brees (run failed),19,38
10,4.0,2:47,Saints,Mark Ingram 1 yard rush (pass failed),25,38
11,4.0,0:39,Saints,Travaris Cadet 3 yard pass from Drew Brees (Wil Lutz kick),32,38
