,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Johnny Drake 14 yard rush (Chet Adams kick),7,0
1,1.0,Bears,Bill Osmanski 2 yard rush (Jack Manders kick),7,7
2,1.0,Bears,Dick Plasman 58 yard pass from Bernie Masterson,7,13
3,2.0,Bears,Jack Manders 22 yard field goal,7,16
4,2.0,Bears,Ken Kavanaugh 74 yard pass from Sid Luckman (Jack Manders kick),7,23
5,3.0,Bears,Bob Nowaskey 12 yard pass from George McAfee (Jack Manders kick),7,30
6,3.0,Rams,Olie Cordill 26 yard pass from Parker Hall,13,30
7,3.0,Bears,Bob Nowaskey 20 yard pass from Bernie Masterson (Jack Manders kick),13,37
8,4.0,Bears,John Siegal 2 yard fumble return (Bob Snyder kick),13,44
9,4.0,Rams,Jim Benton 7 yard pass from Johnny Drake,19,44
10,4.0,Rams,Johnny Wilson 14 yard pass from Parker Hall,25,44
11,4.0,Bears,Phil Martinovich 16 yard field goal,25,47
