,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,Bruce Gossett 27 yard field goal,3,0
1,2.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),3,7
2,2.0,Lions,Errol Mann 31 yard field goal,3,10
3,3.0,49ers,Bruce Gossett 19 yard field goal,6,10
4,4.0,Lions,Larry Walton 13 yard pass from Bill Munson (Errol Mann kick),6,17
5,4.0,49ers,Wilbur Jackson 11 yard pass from Dennis Morrison (Bruce Gossett kick),13,17
