,Quarter,Time,Tm,Detail,SEA,DET
0,1.0,,Seahawks,Lamar Smith 1 yard rush (Todd Peterson kick),7,0
1,2.0,,Seahawks,Todd Peterson 24 yard field goal,10,0
2,2.0,,Lions,Barry Sanders 11 yard rush (Jason Hanson kick),10,7
3,3.0,,Seahawks,Todd Peterson 25 yard field goal,13,7
4,3.0,,Lions,Herman Moore 6 yard pass from Don Majkowski (Jason Hanson kick),13,14
5,4.0,,Seahawks,Todd Peterson 21 yard field goal,16,14
6,4.0,,Lions,Jason Hanson 43 yard field goal,16,17
