,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,,Bengals,Eric Bieniemy 1 yard rush (Doug Pelfrey kick),7,0
1,1.0,,Oilers,Al Del Greco 40 yard field goal,7,3
2,1.0,,Oilers,Eddie Robinson 49 yard interception return (Al Del Greco kick),7,10
3,1.0,,Bengals,Doug Pelfrey 33 yard field goal,10,10
4,2.0,,Bengals,Doug Pelfrey 49 yard field goal,13,10
5,2.0,,Bengals,Doug Pelfrey 27 yard field goal,16,10
6,2.0,,Oilers,Al Del Greco 34 yard field goal,16,13
7,3.0,,Bengals,Carl Pickens 30 yard pass from Jeff Blake (Doug Pelfrey kick),23,13
8,3.0,5:34,Bengals,"Safety, Williams blocked punt out of end zone",25,13
9,4.0,5:34,Oilers,Al Del Greco 34 yard field goal,25,16
10,4.0,9:50,Bengals,Carl Pickens 12 yard pass from Jeff Blake (Doug Pelfrey kick),32,16
11,4.0,9:50,Oilers,Chris Sanders 3 yard pass from Will Furrer (pass failed),32,22
12,4.0,9:50,Oilers,Al Del Greco 23 yard field goal,32,25
