,Quarter,Time,Tm,Detail,CIN,SDG
0,1.0,,Chargers,Leonard Russell 1 yard rush (John Carney kick),0,7
1,2.0,,Chargers,Tony Martin 21 yard pass from Stan Humphries (John Carney kick),0,14
2,2.0,,Bengals,Carl Pickens 27 yard pass from Jeff Blake (Doug Pelfrey kick),7,14
3,3.0,,Chargers,John Carney 47 yard field goal,7,17
4,4.0,,Chargers,John Carney 23 yard field goal,7,20
5,4.0,,Chargers,Leonard Russell 1 yard rush (John Carney kick),7,27
6,4.0,,Bengals,Tony McGee 12 yard pass from Erik Wilhelm (Doug Pelfrey kick),14,27
