,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,13:31,Buccaneers,Donnie Abraham 55 yard interception return (Martin Gramatica kick),0,7
1,2.0,14:12,Buccaneers,Martin Gramatica 20 yard field goal,0,10
2,2.0,5:52,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),7,10
3,2.0,0:27,Vikings,Cris Carter 1 yard pass from Jeff George (Gary Anderson kick),14,10
4,3.0,7:14,Buccaneers,Jacquez Green 29 yard pass from Shaun King (Martin Gramatica kick),14,17
5,4.0,11:46,Buccaneers,Dave Moore 1 yard pass from Shaun King (Martin Gramatica kick),14,24
6,4.0,5:50,Vikings,Gary Anderson 34 yard field goal,17,24
