,Quarter,Time,Tm,Detail,ARI,WAS
0,1.0,,Redskins,Eddie Murray 36 yard field goal,0,3
1,1.0,5:09,Redskins,Michael Westbrook 58 yard rush (Eddie Murray kick),0,10
2,2.0,5:09,Cardinals,Oscar McBride 3 yard pass from Dave Krieg (Greg Davis kick),7,10
3,3.0,5:09,Redskins,Eddie Murray 22 yard field goal,7,13
4,3.0,5:09,Redskins,Leslie Shepherd 73 yard pass from Gus Frerotte (Eddie Murray kick),7,20
5,4.0,5:09,Redskins,Scott Galbraith 2 yard pass from Gus Frerotte (Eddie Murray kick),7,27
