,Quarter,Tm,Detail,CHI,DET
0,2.0,Bears,Kevin Butler 27 yard field goal,3,0
1,2.0,Lions,Jason Hanson 39 yard field goal,3,3
2,2.0,Bears,Terry Obee 42 yard pass from Jim Harbaugh (Kevin Butler kick),10,3
3,3.0,Lions,Jason Hanson 27 yard field goal,10,6
