,Quarter,Tm,Detail,MIA,PIT
0,1.0,Steelers,Dwayne Woodruff 78 yard interception return (Gary Anderson kick),0,7
1,1.0,Dolphins,Lorenzo Hampton 4 yard rush (Fuad Reveiz kick),7,7
2,1.0,Dolphins,Fuad Reveiz 20 yard field goal,10,7
3,2.0,Steelers,Louis Lipps 39 yard rush (Gary Anderson kick),10,14
4,2.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),17,14
5,2.0,Steelers,Gary Anderson 34 yard field goal,17,17
6,2.0,Steelers,Gary Anderson 43 yard field goal,17,20
7,3.0,Steelers,Rodney Carter 1 yard rush (Gary Anderson kick),17,27
8,4.0,Steelers,Gary Anderson 34 yard field goal,17,30
9,4.0,Steelers,Darin Jordan 28 yard interception return (Gary Anderson kick),17,37
10,4.0,Steelers,Gary Anderson 22 yard field goal,17,40
11,4.0,Dolphins,Mark Clayton 13 yard pass from Ron Jaworski (Fuad Reveiz kick),24,40
