,Quarter,Tm,Detail,PIT,ATL
0,1.0,Steelers,Barry Foster 30 yard rush (Gary Anderson kick),7,0
1,1.0,Falcons,Tony Smith 97 yard kickoff return (Norm Johnson kick),7,7
2,1.0,Falcons,Vinnie Clark 46 yard defensive fumble return (Norm Johnson kick),7,14
3,2.0,Steelers,Gary Anderson 21 yard field goal,10,14
4,2.0,Falcons,Norm Johnson 49 yard field goal,10,17
5,2.0,Steelers,Barry Foster 7 yard rush (Gary Anderson kick),17,17
6,2.0,Steelers,Dwight Stone 4 yard pass from Neil O'Donnell (Gary Anderson kick),24,17
7,3.0,Steelers,Yancey Thigpen 7 yard pass from Neil O'Donnell (Gary Anderson kick),31,17
8,4.0,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),38,17
9,4.0,Steelers,Kenny Davidson 18 yard defensive fumble return (Gary Anderson kick),45,17
