,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Lou Groza 19 yard field goal,3,0
1,1.0,Redskins,Leo Elter 4 yard rush,3,6
2,2.0,Redskins,Sam Baker 25 yard field goal,3,9
3,2.0,Browns,Chet Hanulak 3 yard rush (Lou Groza kick),10,9
4,3.0,Browns,Lou Groza 35 yard field goal,13,9
5,3.0,Redskins,Leo Elter 18 yard rush (Sam Baker kick),13,16
6,3.0,Redskins,Don Bosseler 2 yard rush (Sam Baker kick),13,23
7,4.0,Browns,Pete Brewster 10 yard pass from Tommy O'Connell (Lou Groza kick),20,23
8,4.0,Redskins,Steve Meilinger 34 yard pass from Eddie LeBaron (Sam Baker kick),20,30
9,4.0,Browns,Pete Brewster 7 yard touchdown on a lateral (Lou Groza kick),27,30
10,4.0,Browns,Lou Groza 23 yard field goal,30,30
