,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,,Cowboys,Alvin Harper 15 yard pass from Troy Aikman (Chris Boniol kick),7,0
1,2.0,,Cardinals,Steve Beuerlein 1 yard rush (Todd Peterson kick),7,7
2,2.0,,Cardinals,Ronald Moore 4 yard rush (Todd Peterson kick),7,14
3,2.0,,Cowboys,Michael Irvin 5 yard pass from Rodney Peete (Chris Boniol kick),14,14
4,4.0,3:38,Cardinals,Ricky Proehl 9 yard pass from Steve Beuerlein (Todd Peterson kick),14,21
5,4.0,3:38,Cowboys,Michael Irvin 65 yard pass from Rodney Peete (Chris Boniol kick),21,21
6,4.0,3:38,Cowboys,Emmitt Smith 6 yard rush (Chris Boniol kick),28,21
