,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,9:04,Falcons,Morten Andersen 31 yard field goal,3,0
1,2.0,10:57,Falcons,Jamal Anderson 26 yard rush (Morten Andersen kick),10,0
2,2.0,4:22,Panthers,Richie Cunningham 33 yard field goal,10,3
3,2.0,0:15,Panthers,Muhsin Muhammad 9 yard pass from Steve Beuerlein (Richie Cunningham kick),10,10
4,4.0,4:10,Falcons,Morten Andersen 27 yard field goal,13,10
5,4.0,2:12,Falcons,"Safety,",15,10
