,Quarter,Time,Tm,Detail,STL,NYJ
0,2.0,10:10,Rams,Az-Zahir Hakim 15 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,2.0,4:51,Jets,Anthony Becht 5 yard pass from Vinny Testaverde (John Hall kick),7,7
2,2.0,3:11,Rams,Trung Canidate 44 yard rush (Jeff Wilkins kick),14,7
3,2.0,2:16,Rams,Aeneas Williams 42 yard interception return (Jeff Wilkins kick),21,7
4,3.0,11:01,Rams,Jeff Wilkins 47 yard field goal,24,7
5,3.0,4:47,Rams,Trung Canidate 12 yard rush (Jeff Wilkins kick),31,7
6,4.0,13:25,Rams,Jeff Wilkins 24 yard field goal,34,7
7,4.0,1:34,Jets,Anthony Becht 7 yard pass from Chad Pennington (John Hall kick),34,14
