,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,David Brandon special teams fumble recovery in end zone (Vince Abbott kick),0,7
1,1.0,Chargers,"Safety, Ehin tackled Malone in end zone",0,9
2,2.0,Steelers,Frank Pollard 8 yard rush (Gary Anderson kick),7,9
3,3.0,Steelers,Mark Malone 7 yard rush (Gary Anderson kick),14,9
4,3.0,Steelers,Gary Anderson 43 yard field goal,17,9
5,4.0,Steelers,Gary Anderson 33 yard field goal,20,9
6,4.0,Chargers,Lionel James 15 yard pass from Dan Fouts (Vince Abbott kick),20,16
