,Quarter,Time,Tm,Detail,WAS,DET
0,1.0,6:22,Redskins,Brett Conway 42 yard field goal,3,0
1,2.0,6:02,Lions,Jason Hanson 50 yard field goal,3,3
2,2.0,5:46,Redskins,James Thrash 95 yard kickoff return (Brett Conway kick),10,3
3,2.0,3:23,Lions,Herman Moore 23 yard pass from Gus Frerotte (Jason Hanson kick),10,10
4,2.0,1:34,Lions,Desmond Howard 68 yard punt return (Jason Hanson kick),10,17
5,2.0,0:05,Lions,Jason Hanson 45 yard field goal,10,20
6,3.0,12:21,Redskins,Michael Westbrook 39 yard pass from Brad Johnson (Brett Conway kick),17,20
7,4.0,14:56,Lions,Jason Hanson 37 yard field goal,17,23
8,4.0,8:23,Lions,Jason Hanson 52 yard field goal,17,26
9,4.0,8:09,Lions,Luther Elliss 11 yard defensive fumble return (Jason Hanson kick),17,33
