,Quarter,Time,Tm,Detail,ARI,HOU
0,2.0,14:12,Texans,Lamar Miller 7 yard pass from Tom Savage (Ka'imi Fairbairn kick),0,7
1,2.0,7:20,Cardinals,Larry Fitzgerald 20 yard pass from Blaine Gabbert (Phil Dawson kick),7,7
2,2.0,1:53,Cardinals,Ricky Seals-Jones 11 yard pass from Blaine Gabbert (Phil Dawson kick),14,7
3,2.0,0:05,Texans,Ka'imi Fairbairn 34 yard field goal,14,10
4,3.0,11:02,Texans,DeAndre Hopkins 28 yard pass from Tom Savage (Ka'imi Fairbairn kick),14,17
5,3.0,4:41,Cardinals,Ricky Seals-Jones 28 yard pass from Blaine Gabbert (Phil Dawson kick),21,17
6,4.0,13:13,Texans,D'Onta Foreman 3 yard rush (Ka'imi Fairbairn kick),21,24
7,4.0,6:19,Texans,D'Onta Foreman 34 yard rush (Ka'imi Fairbairn kick),21,31
