,Quarter,Tm,Detail,MIA,CLE
0,1.0,Dolphins,Mark Duper 5 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,James Pruitt 35 yard pass from Dan Marino (Pete Stoyanovich kick),14,0
2,2.0,Dolphins,Sammie Smith 4 yard rush,20,0
3,2.0,Dolphins,Kerry Glenn 31 yard interception return (Pete Stoyanovich kick),27,0
4,2.0,Browns,Jerry Kauric 36 yard field goal,27,3
5,3.0,Browns,Jerry Kauric 42 yard field goal,27,6
6,3.0,Dolphins,Pete Stoyanovich 40 yard field goal,30,6
7,4.0,Browns,Kevin Mack 2 yard rush (Jerry Kauric kick),30,13
