,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Vince Evans 1 yard rush (Bob Thomas kick),0,7
1,2.0,Bears,Bob Thomas 18 yard field goal,0,10
2,3.0,Bears,Roland Harper 4 yard rush (Bob Thomas kick),0,17
3,4.0,Lions,Leonard Thompson 34 yard pass from Gary Danielson (Eddie Murray kick),7,17
4,4.0,Bears,James Scott 64 yard pass from Vince Evans (Bob Thomas kick),7,24
