,Quarter,Time,Tm,Detail,CIN,SEA
0,1.0,2:52,Bengals,Randy Bullock 39 yard field goal,3,0
1,2.0,6:39,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),3,7
2,2.0,5:20,Bengals,John Ross 33 yard pass from Andy Dalton (Randy Bullock kick),10,7
3,2.0,0:59,Seahawks,Chris Carson 10 yard pass from Russell Wilson (Jason Myers kick),10,14
4,2.0,0:16,Bengals,John Ross 55 yard pass from Andy Dalton (Randy Bullock kick),17,14
5,4.0,15:00,Seahawks,Tyler Lockett 44 yard pass from Russell Wilson (Jason Myers kick),17,21
6,4.0,7:03,Bengals,Randy Bullock 27 yard field goal,20,21
