,Quarter,Tm,Detail,DAL,PHI
0,1,Eagles,Ben Hawkins 10 yard pass from Norm Snead (Mark Moseley kick),0,7
1,2,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),7,7
2,3,Cowboys,Lance Rentzel 31 yard pass from Roger Staubach (Mike Clark kick),14,7
3,4,Cowboys,Mike Clark 13 yard field goal,17,7
