,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Ron Johnson 68 yard rush (Pete Gogolak kick),0,7
1,1.0,Giants,Pete Gogolak 15 yard field goal,0,10
2,1.0,Giants,Bobby Duhon 45 yard punt return (Pete Gogolak kick),0,17
3,2.0,Eagles,Mark Moseley 13 yard field goal,3,17
4,2.0,Giants,Pete Gogolak 45 yard field goal,3,20
5,2.0,Eagles,Harold Jackson 20 yard pass from Norm Snead,9,20
6,3.0,Eagles,Harold Jackson 79 yard pass from Norm Snead (Mark Moseley kick),16,20
7,3.0,Giants,Pete Gogolak 40 yard field goal,16,23
8,4.0,Eagles,Tom Woodeshick 1 yard rush (Mark Moseley kick),23,23
9,4.0,Giants,Ron Johnson 34 yard rush (Pete Gogolak kick),23,30
