,Quarter,Time,Tm,Detail,PHI,KAN
0,1.0,8:59,Eagles,David Akers 24 yard field goal,3,0
1,2.0,11:34,Eagles,Duce Staley 46 yard pass from Donovan McNabb (David Akers kick),10,0
2,2.0,5:17,Eagles,David Akers 33 yard field goal,13,0
3,2.0,0:16,Chiefs,Todd Peterson 29 yard field goal,13,3
4,3.0,8:09,Eagles,Tony Stewart 1 yard pass from Donovan McNabb (David Akers kick),20,3
5,3.0,3:02,Chiefs,Derrick Alexander 3 yard pass from Trent Green (Todd Peterson kick),20,10
6,4.0,12:20,Eagles,David Akers 38 yard field goal,23,10
