,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Joe Geri 11 yard field goal,3,0
1,2.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),3,7
2,2.0,Steelers,Joe Geri 36 yard field goal,6,7
3,3.0,Steelers,Joe Geri 13 yard field goal,9,7
