,Quarter,Tm,Detail,NWE,BUF
0,1.0,Bills,Nick Mike-Mayer 28 yard field goal,0,3
1,1.0,Patriots,Stanley Morgan 56 yard pass from Andy Johnson (John Smith kick),7,3
2,2.0,Bills,Nick Mike-Mayer 23 yard field goal,7,6
3,2.0,Bills,Roland Hooks 11 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,13
4,3.0,Patriots,John Smith 43 yard field goal,10,13
5,4.0,Patriots,Don Hasselbeck 5 yard pass from Matt Cavanaugh (John Smith kick),17,13
6,4.0,Bills,Roland Hooks 36 yard pass from Joe Ferguson (Nick Mike-Mayer kick),17,20
