,Quarter,Tm,Detail,CIN,NYJ
0,1.0,Jets,Freeman McNeil 18 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,2.0,Jets,Pat Leahy 24 yard field goal,0,10
2,2.0,Bengals,Eddie Brown 17 yard pass from Boomer Esiason (Jim Breech kick),7,10
3,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),7,17
4,2.0,Bengals,Jim Breech 31 yard field goal,10,17
5,3.0,Bengals,Eric Kattus 3 yard pass from Boomer Esiason (Jim Breech kick),17,17
6,4.0,Bengals,Jim Breech 35 yard field goal,20,17
7,4.0,Jets,Pat Leahy 23 yard field goal,20,20
8,4.0,Jets,Rich Miano 67 yard blocked field goal return (Pat Leahy kick),20,27
