,Quarter,Time,Tm,Detail,ATL,PHI
0,1.0,10:35,Eagles,David Akers 39 yard field goal,0,3
1,2.0,0:09,Eagles,David Akers 38 yard field goal,0,6
2,3.0,11:24,Eagles,Torrance Small 70 yard pass from Donovan McNabb (Torrance Small pass from Donovan McNabb),0,14
3,3.0,4:51,Falcons,Tim Dwight 70 yard punt return (Morten Andersen kick),7,14
4,3.0,0:00,Eagles,David Akers 19 yard field goal,7,17
5,4.0,8:39,Eagles,Charles Johnson 11 yard pass from Donovan McNabb (David Akers kick),7,24
6,4.0,6:42,Falcons,Morten Andersen 48 yard field goal,10,24
7,4.0,6:26,Eagles,Brian Mitchell 89 yard kickoff return (David Akers kick),10,31
8,4.0,1:52,Eagles,Brian Mitchell 85 yard rush (David Akers kick),10,38
