,Quarter,Tm,Detail,IND,RAI
0,2.0,Raiders,Mervyn Fernandez 16 yard pass from Jay Schroeder (Jeff Jaeger kick),0,7
1,2.0,Raiders,Jeff Jaeger 33 yard field goal,0,10
2,2.0,Raiders,Jeff Jaeger 41 yard field goal,0,13
3,3.0,Raiders,Jeff Jaeger 33 yard field goal,0,16
