,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Mike Mercer 12 yard field goal,0,3
1,2.0,Vikings,Bob Schnelker 14 yard pass from Fran Tarkenton (Mike Mercer kick),0,10
2,2.0,Bears,Rick Casares 3 yard rush,6,10
3,3.0,Vikings,Jerry Reichow 29 yard pass from Fran Tarkenton (Mike Mercer kick),6,17
4,3.0,Vikings,Hugh McElhenny 2 yard pass from Fran Tarkenton (Mike Mercer kick),6,24
5,4.0,Vikings,Fran Tarkenton 2 yard rush (Mike Mercer kick),6,31
6,4.0,Vikings,Dave Middleton 2 yard pass from Fran Tarkenton,6,37
7,4.0,Bears,Willie Galimore 10 yard pass from Billy Wade (Roger LeClerc kick),13,37
