,Quarter,Tm,Detail,PHO,DAL
0,3.0,Cowboys,Roger Ruzek 39 yard field goal,0,3
1,3.0,Cowboys,Ray Alexander 50 yard pass from Steve Pelluer (Roger Ruzek kick),0,10
2,3.0,Cardinals,Al Del Greco 32 yard field goal,3,10
3,4.0,Cardinals,Earl Ferrell 14 yard pass from Neil Lomax (Al Del Greco kick),10,10
4,4.0,Cardinals,Earl Ferrell 1 yard rush,16,10
