,Quarter,Tm,Detail,CIN,KAN
0,1.0,Bengals,Pat McInally 4 yard pass from Ken Anderson (Jim Breech kick),7,0
1,2.0,Chiefs,Nick Lowery 26 yard field goal,7,3
2,4.0,Bengals,Dan Ross 1 yard pass from Jack Thompson,13,3
3,4.0,Chiefs,Nick Lowery 40 yard field goal,13,6
4,4.0,Bengals,Pete Johnson 57 yard rush (Jim Breech kick),20,6
